[2025-04-29T23:34:16.593Z] User ID: 4, Username: undefined
[2025-04-29T23:34:33.025Z] User ID: 4, Username: sergio[2025-04-29T23:49:27.615Z] User ID: 4, Username: sergio
[2025-04-29T23:49:48.496Z] User ID: 4, Username: sergio
[2025-04-30T00:10:21.499Z] User ID: 4, Username: sergio
[2025-04-30T00:10:25.430Z] User ID: 4, Username: sergio
[2025-04-30T00:10:26.676Z] User ID: 4, Username: sergio
[2025-04-30T00:10:27.670Z] User ID: 4, Username: sergio
[2025-04-30T00:10:28.546Z] User ID: 4, Username: sergio
[2025-04-30T00:10:29.484Z] User ID: 4, Username: sergio
[2025-04-30T00:10:30.449Z] User ID: 4, Username: sergio
[2025-04-30T00:10:31.508Z] User ID: 4, Username: sergio
